Feature,Importance
CO_td,0.05766464460419252
VLA,0.05585046368747273
PVpg,0.04193847367411183
HR_rhc,0.03881796546919315
LVEF_tte,0.03764375423086026
LAd,0.036756674005161714
CO_fick,0.03311296488687577
LVIDs,0.031907525111826256
HR_vitals,0.03186100314672879
LVIDd,0.02902194268075845
PCWa,0.028997800625696138
Age,0.027868603882900973
PCWv,0.026788969855517375
HR_vitals_std,0.025891943955669426
NIBPs_vitals_std,0.024456174070287967
NIBPs_vitals,0.02434723491109638
Height,0.0230058883747992
AVpg,0.022846803143206355
RAa,0.02279273764659041
RVmin,0.022454851267693598
TVr,0.0223788652250208
RVs,0.022334284111451348
EA,0.021373758645098034
PAs,0.021186063409983805
NIBPd_vitals_std,0.020686273182524282
RVd,0.02050968358342945
NIBPd_vitals,0.020445530515876175
Ad,0.020228306415142477
RAv,0.01940960379614232
PVr,0.018901717737824078
Weight,0.017043244269340806
RAm,0.015449711962377327
PAd,0.015141426795733015
PCW,0.01508038730224771
LVPWd,0.014736726002362453
As,0.013551972594451133
IVSd,0.011555806559973293
HR_tte,0.011351654759630007
tteId,0.009726152632347785
MVmg,0.008432403830828916
MVr,0.008040728555386591
AVr,0.003012363008411077
Sex,0.002090328049570277
LVd,0.0009496853947210532
SAs,0.0008872553970450385
LVmin,0.0006760473795458882
SAd,0.0004968816548902605
LVs,0.0002967179980052631
TVmg,0.0
